step,time
0,0.0
6,0.006468750000000002
23,0.023000000000000013
70,0.07000000000000005
116,0.11600000000000009
163,0.16300000000000012
209,0.20900000000000016
256,0.25600000000000017
302,0.3020000000000002
349,0.34900000000000025
395,0.3950000000000003
442,0.44200000000000034
488,0.4880000000000004
535,0.5350000000000004
582,0.5820000000000004
628,0.6280000000000004
675,0.6750000000000005
721,0.7210000000000005
768,0.7680000000000006
814,0.8140000000000006
861,0.8610000000000007
907,0.9070000000000007
954,0.9540000000000007
1000,1.0000000000000007
1047,1.0469999999999955
1093,1.0929999999999904
1140,1.1399999999999852
1185,1.1854999999999802
1213,1.2134999999999772
1237,1.237499999999975
1252,1.2524999999999993
1264,1.2644999999994901
1276,1.276250000000001
1288,1.2882500000000947
1300,1.3002500000691635
1311,1.3114998991600175
1323,1.3232500000000005
1336,1.336499999999992
1347,1.3474999999981359
1356,1.356189452765784
