step,time
0,0.0
4,0.0045000000000000005
5,0.005437500000000001
6,0.006437500000000002
6,0.006437500000000002
7,0.007125000000000003
7,0.007125000000000003
13,0.013000000000000005
21,0.02100000000000001
28,0.028000000000000018
35,0.035000000000000024
42,0.04200000000000003
49,0.04900000000000004
57,0.057000000000000044
64,0.06400000000000004
71,0.07100000000000005
78,0.07800000000000006
85,0.08500000000000006
93,0.09300000000000007
100,0.10000000000000007
107,0.10700000000000008
112,0.11200000000000009
116,0.11600000000000009
119,0.11900000000000009
123,0.1230000000000001
126,0.12600000000000008
130,0.1300000000000001
134,0.1340000000000001
137,0.1370000000000001
141,0.1410000000000001
144,0.1440000000000001
146,0.14637500000000003
147,0.14737499999999992
149,0.14925000000000022
151,0.15149999999999963
153,0.153250000000001
155,0.15549999999999653
157,0.15725000000000877
158,0.15849999999998954
159,0.1587773437499837
