step,time
0,0.0
5,0.005437500000000001
6,0.006437500000000002
9,0.009000000000000001
24,0.024000000000000014
39,0.03900000000000003
54,0.05400000000000004
69,0.06900000000000005
84,0.08400000000000006
100,0.10000000000000007
115,0.11500000000000009
130,0.1300000000000001
145,0.1450000000000001
160,0.16000000000000011
176,0.17600000000000013
191,0.19100000000000014
206,0.20600000000000016
221,0.22100000000000017
236,0.23600000000000018
249,0.2490000000000002
257,0.2572500000000001
260,0.26049999999999973
263,0.2634999999999994
265,0.2654999999999992
267,0.26749999999999896
269,0.26949999999999874
273,0.2734999999999983
276,0.276374999999998
278,0.2784375000000032
280,0.28049999999999126
282,0.2824062500000447
284,0.2844218749998387
285,0.2854687500001736
286,0.2864648437505426
287,0.28748876953022756
287,0.28748876953022756
288,0.28802571105742397
288,0.28802571105742397
288,0.28802571105742397
288,0.28802571105742397
