step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,J_fraction_ref_below_0_8,J_fraction_def_below_0_8,J_p01_ref,J_p05_ref,J_p01_def,J_p05_def,min_pf,max_pf,area_ref,area_def,area_ratio,domain_measure_ref,domain_measure_def,domain_measure_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
120,True,120,0,0,0.03,0.0,0.00025,0,1,0,False,False,,0.0,restart,1.075,0.8364384622057377,0.8418674631214631,0.9642285158871,0.021496061482322616,0.028593851491079972,True,,,,,True,0,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.011068488055868578,0.0,0.011068488055868578,0.8914989186678624,0.8914989186678624,0.0,0.0,0.9163820669822679,0.9898532277678808,0.9178137947384618,0.995762989326342,-0.9865395066476831,1.0561396052680008,4.183098271533233,4.361257811500192,1.042590330994461,4.183098271533233,4.361257811500192,1.042590330994461,-0.0012730020345883318,0.028593851491079972,0.029866853525668303,-0.0012730020345883318,0.028593851491079972,0.029866853525668303,0.019719301973659998,0.029932697533238413,0.010213395559578415,-0.009344406943060523,0.02970051106464913,0.03904491800770965,7.984000431276043,7.9840034576340555,7.984000436348661,0.0671950857613441,0.00012304569550778592,1,none,0.4427635991979251,0.4524656200620768,0.4427635991979251,4.711201706249876,4.737515510109342,0.28812115142204775,0.2803770868421111,9065,0.4427635991979251,0.0,1.0,0.0,,0,False,0,False,0.012537835172252864,0.03557528235457496,0.00033970181321540493,0.012537835172252864,0.03557528235457496,0.00033970181321540493,0.6220928580517453,0,False,False,False,False,False,,93159,17213,0
121,True,121,1,1,0.030249999999999975,0.00024999999999997594,0.00025,0,0,0,True,False,,2.42861286636753e-17,recovery_restore,1.075625,0.8369988035677371,0.8428397789962614,0.963906113919526,0.0216524890871887,0.02853624495028474,True,2,1,4,1,True,2,,,2,2,2,55,,,,,,,,,5,0.8,9.90066470419909e-07,1.4515024380412394e-06,5.161512236179115e-07,5.76065224430228e-07,1.919727629620805e-06,False,0.011087545729324804,0.0,0.011087545729324804,0.8920023008832878,0.8920023008832878,0.0,0.0,0.9167258741374759,0.9904705320412169,0.9180290813207342,0.9963064951756399,-0.9865357247008962,1.0562771721817978,4.183098271533233,4.363575329279067,1.0431443504385287,4.183098271533233,4.363575329279067,1.0431443504385287,-0.0012749508919347096,0.02853624495028474,0.02981119584221945,-0.0012749508919347096,0.02853624495028474,0.02981119584221945,0.01971861413909101,0.029932678623504478,0.01021406448441347,-0.00919424480371064,0.029645816236186184,0.038840061039896824,7.987284525425031,7.987287553393427,7.987284530572685,0.06707255171643327,0.00012249220650997723,1,none,0.4436371713343407,0.4531259706701001,0.4436371713343407,4.709594901459699,4.737391463021291,0.28864009335260926,0.2809376266225269,9081,0.4436371713343407,0.0,1.0,0.0,,0,False,0,False,0.012820279200619763,0.03548200395809765,0.0002764110585314304,0.012820279200619763,0.03548200395809765,0.0002764110585314304,0.6222194746168448,0,False,False,False,False,False,0.00030410723115040705,93159,17213,0
122,True,122,2,1,0.030499999999999975,0.00025,0.00025,0,0,0,False,False,,,none,1.07625,0.8375593023053026,0.8438132284444579,0.9635890822513022,0.02180922434251109,0.02847879654896658,True,2,1,4,1,True,2,,,2,2,2,55,,,,,,,,,5,0.8,9.850918257461096e-07,1.450003795580641e-06,5.141634619072723e-07,5.697102563074477e-07,1.9135962881580947e-06,False,0.011101239888891267,0.0,0.011101239888891267,0.8925160351954633,0.8925160351954633,0.0,0.0,0.9169224542061604,0.9910716251320596,0.9182362866788457,0.9968252942956031,-0.9865314643986101,1.0564088311601765,4.183098271533233,4.365891917780557,1.0436981477320932,4.183098271533233,4.365891917780557,1.0436981477320932,-0.0012743236035233979,0.02847879654896658,0.02975312015248998,-0.0012743236035233979,0.02847879654896658,0.02975312015248998,0.01971795584419912,0.029932657321993048,0.010214701477793929,-0.009026044816941631,0.029591326310964575,0.038617371127906204,7.990655834186766,7.990658863950125,7.9906558394025,0.06695343902835382,0.00012195526973120283,1,none,0.44463205741484735,0.4539040703543626,0.44463205741484735,4.761245791526343,4.79208791107798,0.2859991419654382,0.2783538609884313,9095,0.44463205741484735,0.0,1.0,0.0,,0,False,0,False,0.012660680669313418,0.035436971672315694,0.00036808718319660926,0.012660680669313418,0.035436971672315694,0.00036808718319660926,0.6223455380677295,0,False,False,False,False,False,0.00018948379822959882,93159,17213,0
123,True,123,3,1,0.030749999999999975,0.00025,0.00025,0,0,0,False,False,,,none,1.076875,0.838119964840808,0.8447878026677107,0.9632773742957288,0.021966263274321628,0.028421527324546607,True,2,1,4,1,True,2,,,2,2,2,54,,,,,,,,,5,0.8,9.80213409345727e-07,1.4485274873447253e-06,5.122122211285908e-07,5.634736317148743e-07,1.9075937991527e-06,False,0.011109624277350847,0.0,0.011109624277350847,0.8930396865790494,0.8930396865790494,0.0,0.0,0.9171839251087899,0.9915306283853035,0.9185247236421284,0.997338877289648,-0.986526754585028,1.0565347606413296,4.183098271533233,4.368207587868441,1.0442517254722201,4.183098271533233,4.368207587868441,1.0442517254722201,-0.0012711663453477563,0.028421527324546607,0.02969269366989436,-0.0012711663453477563,0.028421527324546607,0.02969269366989436,0.019717326196793353,0.02993263377292514,0.010215307576131788,-0.00884054718570837,0.02953706012719455,0.03837760731290292,7.9941122127838105,7.9941152445243455,7.994112218061689,0.06683770539433499,0.00012143432707974145,1,none,0.44549926759841163,0.45455546264616453,0.44549926759841163,4.773891992985875,4.806455620668438,0.2856508672467003,0.2780630693952744,9110,0.44549926759841163,0.0,1.0,0.0,,0,False,0,False,0.012540868717416928,0.03519407222211916,0.00027697312660205893,0.012540868717416928,0.03519407222211916,0.00027697312660205893,0.6224710532149053,0,False,False,False,False,False,0.0002857565712842638,93159,17213,0
124,True,124,4,1,0.030999999999999975,0.00025,0.00025,0,0,0,False,False,,,none,1.0775,0.8386807974046504,0.845763493054495,0.962970940898278,0.02212360190025591,0.028364457260442184,True,2,1,4,1,True,2,,,2,2,2,54,,,,,,,,,5,0.8,9.754204901277112e-07,1.4470726384075517e-06,5.102958551476763e-07,5.573518166866944e-07,1.9017116660350048e-06,False,0.011112764265895681,0.0,0.011112764265895681,0.8935728372945252,0.8935728372945252,0.0,0.0,0.9175868430803453,0.9920923336252827,0.9188386701853686,0.9978373592102644,-0.9865216227300726,1.0566963140066112,4.183098271533233,4.370522350016481,1.044805086162738,4.183098271533233,4.370522350016481,1.044805086162738,-0.0012655313057961472,0.028364457260442184,0.02962998856623833,-0.0012655313057961472,0.028364457260442184,0.02962998856623833,0.019716518429966946,0.029932608113650363,0.010216089683683417,-0.008638517045461029,0.029483035511665392,0.03812155255712642,7.997651583333957,7.997654617232473,7.997651588668979,0.0667253110972477,0.0001209288461204745,1,none,0.44667078925154485,0.4555059909364043,0.44667078925154485,4.776887797232807,4.811154068635317,0.2860686770999353,0.27852202374694035,9129,0.44667078925154485,0.0,1.0,0.0,,0,False,0,False,0.012551660140864814,0.03520612147772009,0.0006570642808123083,0.012551660140864814,0.03520612147772009,0.0006570642808123083,0.6225960250864757,0,False,False,False,False,False,0.0003804351783017018,93159,17213,0
125,True,125,5,1,0.031249999999999976,0.00025,0.00025,0,0,0,False,False,,,none,1.078125,0.8392418060416759,0.8467402911976593,0.9626697303624012,0.02228123626970439,0.02830760533428663,True,2,1,4,1,True,2,,,2,2,2,54,,,,,,,,,5,0.8,9.707034214080148e-07,1.4456383521759603e-06,5.084127983398519e-07,5.513414198417369e-07,1.8959420646117099e-06,False,0.011110736505408387,0.0,0.011110736505408387,0.8941150802862918,0.8941150802862918,0.0,0.0,0.9178547456849624,0.9925632849899515,0.9191268182016874,0.9983794854672209,-0.986516094960931,1.0568547066294591,4.183098271533233,4.372836214333918,1.0453582322203345,4.183098271533233,4.372836214333918,1.0453582322203345,-0.0012574762224172992,0.02830760533428663,0.02956508155670393,-0.0012574762224172992,0.02830760533428663,0.02956508155670393,0.01971572646685271,0.029932580474804654,0.010216854007951946,-0.00842073952212177,0.029429269316553177,0.037850008838674946,8.001271932648443,8.00127496888283,8.00127193803434,0.06661621872495936,0.00012043831756655927,1,none,0.4478416897229654,0.4564544785998612,0.4478416897229654,4.784493682751774,4.820427396173139,0.2862086412061061,0.27871492686219057,9153,0.4478416897229654,0.0,1.0,0.0,,0,False,0,False,0.012572171768580382,0.035237075580556526,0.0006196825839694682,0.012572171768580382,0.035237075580556526,0.0006196825839694682,0.6227204589194183,0,False,False,False,False,False,5.2690365464670556e-05,93159,17213,0
126,True,126,6,1,0.03149999999999997,0.00025,0.00025,0,0,0,False,False,,,none,1.0787499999999999,0.8398029966174427,0.8477181889078422,0.962373688783726,0.022439162462405227,0.0282509895594738,True,2,1,4,1,True,2,,,2,2,2,54,,,,,,,,,5,0.8,9.660537542015283e-07,1.4442238498165155e-06,5.065615704645953e-07,5.45439073551765e-07,1.8902779668647332e-06,False,0.011103628499435855,0.0,0.011103628499435855,0.8946660261624518,0.8946660261624518,0.0,0.0,0.9181673516011426,0.9930568531833419,0.91946638915989,0.9989727572252977,-0.9865101960970579,1.0570077818864245,4.183098271533233,4.375149190575731,1.045911165977008,4.183098271533233,4.375149190575731,1.045911165977008,-0.0012470638200568424,0.0282509895594738,0.029498053379530643,-0.0012470638200568424,0.0282509895594738,0.029498053379530643,0.01971496109056788,0.02993255098048529,0.01021758988991741,-0.00818801505350276,0.029375777465830373,0.03756379251933313,8.004971310038425,8.0049743487855,8.004971315470819,0.06651039298765504,0.0001199622547044214,1,none,0.44893812524969745,0.45732773626770445,0.44893812524969745,4.795030983728347,4.833198253212041,0.2861260361943138,0.2786590380094647,9171,0.44893812524969745,0.0,1.0,0.0,,0,False,0,False,0.013014460880592804,0.03505599332019871,0.0009426191432531509,0.013014460880592804,0.03505599332019871,0.0009426191432531509,0.6228443601252481,0,False,False,False,False,False,0.00057680019499218,93159,17213,0
127,True,127,7,1,0.03174999999999997,0.00025,0.00025,0,0,0,False,False,,,none,1.079375,0.8403643748242978,0.8486971782077078,0.9620827602844833,0.022597376602511963,0.028194627011971632,True,2,1,4,1,True,2,,,2,2,2,54,,,,,,,,,5,0.8,9.614631585412358e-07,1.4428282927868226e-06,5.047407817140373e-07,5.396416076165797e-07,1.884712500381565e-06,False,0.011091538190924592,0.0,0.011091538190924592,0.8952253032172776,0.8952253032172776,0.0,0.0,0.9184471349599709,0.9935997684064627,0.9197246617417122,0.999460210527637,-0.9865039496874326,1.0571556838625158,4.183098271533233,4.3774612881558985,1.0464638896832383,4.183098271533233,4.3774612881558985,1.0464638896832383,-0.0012343614078679781,0.028194627011971632,0.02942898841983961,-0.0012343614078679781,0.028194627011971632,0.02942898841983961,0.01971422158068742,0.02993251974843716,0.010218298167749742,-0.00794115506964132,0.029322574982256405,0.037263730051897724,8.008747825201423,8.008750866634811,8.008747830676262,0.06640780025196732,0.00011950019213937168,1,none,0.44994995395573456,0.4581155947710622,0.44994995395573456,4.782492539512447,4.822054173604661,0.2873703979584869,0.279932537725544,9191,0.44994995395573456,0.0,1.0,0.0,,0,False,0,False,0.013188443079229001,0.03501969037714299,0.0007083759591736929,0.013188443079229001,0.03501969037714299,0.0007083759591736929,0.6229677342663451,0,False,False,False,False,False,0.00029403669567670436,93159,17213,0
128,True,128,8,1,0.03199999999999997,0.00025,0.00025,0,0,0,False,False,,,none,1.0799999999999998,0.8409259461872294,0.8496772513419872,0.9617968868715455,0.022755874868345124,0.028138533876891938,True,2,1,4,1,True,2,,,2,2,2,55,,,,,,,,,5,0.8,9.569256950609328e-07,1.4414509069592683e-06,5.029491377229021e-07,5.339460399244116e-07,1.879240195325951e-06,False,0.011074573439232363,0.0,0.011074573439232363,0.8957925537920585,0.8957925537920585,0.0,0.0,0.918766892740406,0.9941338690400504,0.9200188886496788,1.0000240708605528,-0.9864973780494545,1.0572985536834176,4.183098271533233,4.379772516151047,1.047016405508859,4.183098271533233,4.379772516151047,1.047016405508859,-0.0012194403575208727,0.028138533876891938,0.02935797423441281,-0.0012194403575208727,0.028138533876891938,0.02935797423441281,0.01971350723158291,0.02993248689024727,0.010218979658664359,-0.007680977672269617,0.029269676022671914,0.036950653694941535,8.01259964618941,8.012602690480016,8.01259965170081,0.0663084088765364,0.00011905168389353617,1,none,0.45065567652790156,0.4586037424126658,0.45065567652790156,4.802178166008538,4.84395672910304,0.28649733093546187,0.2791038618204275,9202,0.45065567652790156,0.0,1.0,0.0,,0,False,0,False,0.012937531087046903,0.03511179448236032,0.0008413320987731073,0.012937531087046903,0.03511179448236032,0.0008413320987731073,0.6230905870317288,0,False,False,False,False,False,0.00029852525701496905,93159,17213,0
129,True,129,9,1,0.03224999999999997,0.00025,0.00025,0,0,0,False,False,,,none,1.080625,0.8414877160695193,0.8506584007889064,0.9615160090758528,0.022914653477566122,0.028082725457468014,True,2,1,4,1,True,2,,,2,2,2,55,,,,,,,,,5,0.8,9.524355791471132e-07,1.4400909844766645e-06,5.011854362753471e-07,5.283494348479193e-07,1.8738557956350033e-06,False,0.011052851504885042,0.0,0.011052851504885042,0.8963674329982391,0.8963674329982391,0.0,0.0,0.9190896078353693,0.9947352626735998,0.9203954425904104,1.00056439395496,-0.9864905023102191,1.0574365270658845,4.183098271533233,4.382082883316771,1.0475687155469584,4.183098271533233,4.382082883316771,1.0475687155469584,-0.0012023754254995925,0.028082725457468014,0.029285100882967607,-0.0012023754254995925,0.028082725457468014,0.029285100882967607,0.019712817364670576,0.02993245251155109,0.010219635146880516,-0.0074083036329634245,0.02921709389968386,0.036625397532647284,8.016524997364755,8.01652804468153,8.016525002910221,0.0662121887997503,0.00011861630292372344,1,none,0.4514416885923371,0.45916904654609,0.4514416885923371,4.814972205325917,4.858619177455467,0.2860882848118183,0.2787469065411074,9220,0.4514416885923371,0.0,1.0,0.0,,0,False,0,False,0.012925645186608102,0.03524782444015547,0.0006419382045241141,0.012925645186608102,0.03524782444015547,0.0006419382045241141,0.6232129242209123,0,False,False,False,False,False,0.0002416678487320365,93159,17213,0
