step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,min_pf,max_pf,area_ref,area_def,area_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.001,0,0,0,False,False,,0.0,initial_state,1.0,0.5835720178604035,0.5835720178604042,1.015043336656825,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,-0.994178505209978,0.5636662693841494,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022181668653079252,0.02997089252604989,0.007789223872970638,0.0,0.0,0.0,8.692354450276143,8.692354450276143,8.692354450276143,0.0,2.347019459395552e-20,4,none,0.0043061512127377955,0.0043061512127377955,0.0043061512127377955,4,0.0010765378033186215,0.0010765378033186206,0.25000000003115835,0.2500000000311582,0.5508342038205016,0,False,0,False,-0.009659180067777119,0.4981020078334965,,0.007804570421642356,0.0227754300805396,,0.5148459305614005,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.001,0.001,0.001,0,0,0,False,False,,,none,1.0025,0.5835720178604035,0.5585745191348492,1.015793787595262,0.01440435595488825,0.023159330117818906,True,2,1,4,1,True,1,,,2,1,2,137,,,,,,,,,8,0.8,1.1275365689857404e-06,8.045558716280351e-07,2.1130507871071055e-08,1.0070650066623003e-06,1.7126807323543729e-06,False,0.00269969794378273,0.0,0.00269969794378273,0.8627940681968651,0.8625145094199314,-0.9866361919563342,0.5174904414143499,3.140290796624407,3.0692733796599136,0.9773850826041868,0.006603715602673004,0.023159330117818906,0.0165556145151459,0.006603715602673004,0.023159330117818906,0.0165556145151459,0.022412547792928252,0.02993318095978167,0.007520633166853419,0.0066154154445625815,0.03577428347273699,0.02915886802817441,8.343758500494971,8.343758833197823,8.343758501870521,0.19708101030880582,0.000649056327879281,0,none,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.002,0.001,0.001,0,0,4,False,False,,,component_split;component_dt_reduce,1.005,0.5835720178604034,0.5598457024600244,1.0174979985546582,0.013674027002832486,0.022836778628452563,True,2,1,4,1,True,2,,,2,2,2,212,,,,,,,,,7,0.8,1.1223823808514683e-06,3.40288997763621e-07,8.698356622802083e-08,3.1080891620141247e-07,1.2164321329317231e-06,False,0.0030894125943544057,0.0,0.0030894125943544057,0.8581168124515397,0.8574748909316522,-0.9807745604220345,0.5375404271206377,3.140290796624407,3.0770078912913674,0.9798480747703161,0.007102237987789602,0.022836778628452563,0.015734540640662962,0.007102237987789602,0.022836778628452563,0.015734540640662962,0.022312297864396813,0.029903872802110168,0.007591574937713355,0.007135331615287842,0.03672930293083222,0.02959397131554438,8.30458968665028,8.304590122694488,8.30458969205767,0.20110043082676451,0.0006040174851310957,4,split,0.00740197849384757,0.008612302426012283,0.00740197849384757,8,0.00277425676447721,0.0027742201525722742,0.37479935489992805,0.37479440866765157,0.5427946625827997,0,False,0,False,0.46703023157029144,0.02569703138694192,,0.11743118686584822,0.13675792982907303,,0.5047225725799254,0,False,False,False,False,False,,2972,1550,0
