label,role,scenario_name,mechanism_tags,key_observables,backend,geometry,solver_mode,restart_mode,hydraulic_mode,source_mode,source_pressure_independent,targeted_source_channel,configured_pf_rate,configured_theta_rate,target_constituent,source_pf,source_theta,source_region,converged,wall_time_seconds,degrees_of_freedom_total,mesh_num_cells_final,mesh_num_vertices_final,mass_final,ratio_final,min_J,mechanical_history_band,numerical_cost_band,min_J_min,min_J_time_of_min,min_J_final,min_J_duration_below_0_95,min_J_duration_below_0_8,min_J_duration_below_0_5,min_J_duration_below_0_2,min_J_recovered_above_0_95,min_Je_min,min_Je_time_of_min,max_pf_max,max_pf_time_of_max,p_eff_range_max,p_eff_range_time_of_max,source_pf_min,source_pf_time_of_min,source_pf_max,source_pf_time_of_max,source_pf_sign_change,source_theta_min,source_theta_time_of_min,source_theta_max,source_theta_time_of_max,source_theta_sign_change,J_fraction_ref_below_0_8_max,J_fraction_ref_below_0_8_time_of_max,J_fraction_def_below_0_8_max,J_fraction_def_below_0_8_time_of_max,J_p01_ref_min,J_p01_ref_time_of_min,J_p05_ref_min,J_p05_ref_time_of_min,J_p01_def_min,J_p01_def_time_of_min,J_p05_def_min,J_p05_def_time_of_min,low_J_extent_warning,min_J_min_all_attempts,min_J_time_of_min_all_attempts,max_pf_max_all_attempts,max_pf_time_of_max_all_attempts,p_eff_range_max_all_attempts,p_eff_range_time_of_max_all_attempts,source_pf_min_all_attempts,source_pf_time_of_min_all_attempts,source_pf_max_all_attempts,source_pf_time_of_max_all_attempts,source_pf_sign_change_all_attempts,source_theta_min_all_attempts,source_theta_time_of_min_all_attempts,source_theta_max_all_attempts,source_theta_time_of_max_all_attempts,source_theta_sign_change_all_attempts,accepted_steps,attempt_rows,min_dt_accepted,min_dt_attempted,failed_attempts_total,total_volume_ratio_final,lumen_volume_ratio_final,tissue_volume_ratio_final,area_ratio_final,domain_measure_ref_final,domain_measure_def_final,domain_measure_ratio_final,max_u_final,J_fraction_ref_below_0_8_final,J_fraction_def_below_0_8_final,J_p01_ref_final,J_p05_ref_final,J_p01_def_final,J_p05_def_final,lumen_interface_measure_ref_final,lumen_interface_measure_def_final,lumen_characteristic_length_ref_final,lumen_characteristic_length_def_final,flow_potential_min_final,flow_potential_max_final,flow_potential_range_final,p_eff_min_final,p_eff_max_final,p_eff_range_final,theta_eq_min_final,theta_eq_max_final,theta_eq_range_final,storage_strain_min_final,storage_strain_max_final,storage_strain_range_final
mig-source-s20-pf-only-autonomous-lumen-t020,peer,canonical disk source pf only autonomous closed direct start s20 t020 lumen dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,20.0,0.0,lumen,20.0,0.0,all,True,102.80598055105656,18342,2972,1550,1.2116301771851863,1.0830037063105766,0.864876412514918,amber,green,0.7414153164759869,0.011500000000000007,0.864876412514918,0.0195,0.01200000000000001,0.0,0.0,False,0.7413019971586219,0.011500000000000007,0.975384665671805,0.02,0.05920521345905228,0.02,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,0.006780907574576785,0.013000000000000008,0.005307108419746457,0.013000000000000008,0.8247572836245821,0.014000000000000009,0.917443057734869,0.007000000000000003,0.8378065410714681,0.013000000000000008,0.9241336598548587,0.008000000000000004,False,0.7414153164759869,0.011500000000000007,0.975384665671805,0.02,0.05920521345905228,0.02,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,41,41,0.0004999999999999866,0.0004999999999999866,0,0.9980518881131173,0.9607182013226735,1.0096849458305133,0.9980518881131173,3.140290796624407,3.134173158795235,0.9980518881131173,0.01930205703086995,0.0,0.0,0.8983479917380995,0.9348804741821694,0.899944709841476,0.9370196140760976,7.1301778262235445,6.9997716412500885,0.20926285790210308,0.20478807338155078,0.000406078549656504,0.05961129200870879,0.05920521345905228,0.000406078549656504,0.05961129200870879,0.05920521345905228,0.020123076671640976,0.029894445828445165,0.00977136915680419,0.003287907307645119,0.06097771868759777,0.05768981137995265
mig-source-s20-pf-only-autonomous-lumen-t030,peer,canonical disk source pf only autonomous closed direct start s20 t030 lumen dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,20.0,0.0,lumen,20.0,0.0,all,True,189.0760967428796,18342,2972,1550,1.5256592568475802,1.0274117861422614,0.9322002258045317,amber,green,0.7414153164759869,0.011500000000000007,0.9322002258045317,0.0295,0.01200000000000001,0.0,0.0,False,0.7413019971586219,0.011500000000000007,1.007764524934687,0.03,0.06333078064005919,0.022000000000000016,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,0.006780907574576785,0.013000000000000008,0.005307108419746457,0.013000000000000008,0.8247572836245821,0.014000000000000009,0.9035530504890221,0.02550000000000002,0.8378065410714681,0.013000000000000008,0.9118292008987233,0.02550000000000002,False,0.7414153164759869,0.011500000000000007,1.007764524934687,0.03,0.06333078064005919,0.022000000000000016,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,61,61,0.0004999999999999762,0.0004999999999999762,0,1.021064387695958,0.9919289948214908,1.0394345444171667,1.021064387695958,3.140290796624407,3.2064390994425525,1.021064387695958,0.019628095110314655,0.0,0.0,0.9615043746271579,0.9791828037331621,0.9625223277154373,0.9794823029263114,5.285306186698356,5.287436116294313,0.45951344692676666,0.45562110042013826,-0.0027491572974132927,0.035074835121553016,0.03782399241896631,-0.0027491572974132927,0.035074835121553016,0.03782399241896631,0.019961177375326565,0.02992235774287022,0.009961180367543655,-0.02724629009811362,0.035153815631509044,0.062400105729622665
mig-source-s20-pf-only-autonomous-lumen-t040,peer,canonical disk source pf only autonomous closed direct start s20 t040 lumen dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,20.0,0.0,lumen,20.0,0.0,all,True,289.6757736389991,18342,2972,1550,1.8396883365099703,1.0145718239667607,0.8912766305474723,amber,green,0.7414153164759869,0.011500000000000007,0.8912766305474723,0.039,0.01200000000000001,0.0,0.0,False,0.7413019971586219,0.011500000000000007,1.095956512092423,0.04,0.06333078064005919,0.022000000000000016,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,0.006780907574576785,0.013000000000000008,0.005307108419746457,0.013000000000000008,0.8247572836245821,0.014000000000000009,0.9035530504890221,0.02550000000000002,0.8378065410714681,0.013000000000000008,0.9116207719009339,0.04,False,0.7414153164759869,0.011500000000000007,1.095956512092423,0.04,0.06333078064005919,0.022000000000000016,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,81,81,0.0004999999999999727,0.0004999999999999727,0,1.0230802102126848,0.9894997093545587,1.0538580910828843,1.0230802102126848,3.140290796624407,3.212769368339458,1.0230802102126848,0.02337141674459742,0.0,0.0,0.8949850558828537,0.9093260855147686,0.8955731614036498,0.9116207719009339,5.634333775849197,5.684865773011561,0.5330781601755206,0.5227919806333098,-0.0013982750473291224,0.041873755749098164,0.04327203079642729,-0.0013982750473291224,0.041873755749098164,0.04327203079642729,0.01952021743953788,0.02993594452306353,0.010415727083525648,-0.013982130518775757,0.041808975285267294,0.05579110580404305
mig-source-s20-pf-only-autonomous-lumen-t120-aborted,peer,canonical disk source pf only autonomous closed direct start s20 t120 lumen dt5e-4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,20.0,0.0,lumen,20.0,0.0,all,False,,,,,3.180629306951154,0.9983722347993083,0.09537335259820687,red,red,0.09537335259820687,0.08270117187499999,0.09537335259820687,0.08170117187499999,0.041701171874999964,0.011701171874999944,0.0037011718749999367,False,0.09537335259820687,0.08270117187499999,1.5666369822630362,0.08270117187499999,0.06333078064005919,0.022000000000000016,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,0.6807563483773917,0.08270117187499999,0.5030684467804323,0.08270117187499999,0.10855680925206317,0.08270117187499999,0.16401046598600824,0.08270117187499999,0.16198304510331446,0.08270117187499999,0.30343595653605476,0.08270117187499999,True,0.09537335259820687,0.08270117187499999,1.5666369822630362,0.08270117187499999,0.06333078064005919,0.022000000000000016,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,191,199,1.953125e-06,1.953125e-06,8,0.6157635775139985,0.5653897914855488,0.9330306493553686,0.6157635775139985,3.140290796624407,1.933676695363729,0.6157635775139985,0.28612299930338164,0.6807563483773917,0.5030684467804323,0.10855680925206317,0.16401046598600824,0.16198304510331446,0.30343595653605476,8.914135146050432,9.113227770978693,0.6080256175541269,0.33626125490075204,0.001804035885703374,0.05717210161599303,0.055368065730289656,0.001804035885703374,0.05717210161599303,0.055368065730289656,0.01716681508868482,0.02884320232364255,0.01167638723495773,0.008491899662294251,0.2266032007175241,0.21811130105522986
