step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,min_pf,max_pf,area_ref,area_def,area_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.001,0,0,0,False,False,,0.0,initial_state,1.0,0.734055680222959,0.7340556802229583,1.000375447762369,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,-0.9890442369437414,0.5795859912114573,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022102070043942712,0.029945221184718707,0.007843151140775995,0.0,0.0,0.0,10.543397147979135,10.543397147979135,10.543397147979135,0.0,2.2718679246641272e-20,8,none,0.03229613408974467,0.03229613408974467,0.03229613408974467,2.193900872723137,2.193900872723137,0.02944174414740782,0.02944174414740782,30,0.006459226810097791,0.005382689016593098,0.19999999975690147,0.16666666671731215,0.23456885413140563,0,False,0,False,-0.0008450171323492692,-0.44043451600558076,,-0.010570717518681955,-0.023665861241827336,,0.5150296924843095,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.001,0.001,0.001,0,0,0,False,False,,,none,1.0,0.7341281678020755,0.6948218078609739,0.9999409184608937,0.019336421888269242,0.03416932318297561,True,2,1,4,1,True,1,,,2,1,2,159,,,,,,,,,8,0.8,1.1206399882120495e-06,1.2340604412791485e-06,1.9441537078036796e-08,1.2844874993828958e-06,2.104524950040952e-06,False,0.0021541266746816987,0.0,0.0021541266746816987,0.8956502123763103,0.8956502123763103,-0.9850191394619807,0.46443196133491066,3.140290796624407,3.0373444353249326,0.9672175706115705,0.007466414929426891,0.03416932318297561,0.026702908253548718,0.007466414929426891,0.03416932318297561,0.026702908253548718,0.022677840193325447,0.029925095697309903,0.007247255503984456,0.011444295367022518,0.03891264684462532,0.027468351477602806,9.573869142897792,9.573869371998457,9.573869141681692,0.21390631308312164,0.000908216579518501,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.002,0.001,0.001,0,0,4,False,False,,,component_split;component_dt_reduce,1.0,0.7341934618760348,0.6953325829144827,0.9999222695675671,0.01901160803768622,0.03650836970573019,True,2,1,4,1,True,2,,,2,2,2,245,,,,,,,,,7,0.8,1.2774874012703147e-06,2.2269321034133404e-07,1.0765591041307843e-07,5.552655119678722e-07,1.4147352791827606e-06,False,0.00266986775023861,0.0,0.00266986775023861,0.9027970390088834,0.9027970390088834,-0.9805663686881164,0.49265168741159954,3.140290796624407,3.0407650450196746,0.9683068358791117,0.0063375594820601995,0.03650836970573019,0.030170810223669988,0.0063375594820601995,0.03650836970573019,0.030170810223669988,0.022536741562942,0.029902831843440583,0.0073660902804985814,0.011494229908334977,0.0407086759721724,0.02921444606383742,9.231298373153544,9.231298648560863,9.231298373047228,0.20072206539454573,0.0008005153824234733,4,split,0.021465630207853366,0.023683831669109975,0.021465630207853366,1.3961187372624093,1.3304650321655158,0.03392810516324794,0.032267860768824694,22,0.005857579988928787,0.005849160474724248,0.27288180837037557,0.2724895760378974,0.4586924851055089,0,False,0,False,0.008048229638564606,-0.38935255579607536,,-0.017140403277481214,-0.01954836747013844,,0.45245248712395064,0,False,False,False,False,False,,2972,1550,0
3,True,3,3,1,0.0025,0.0005,0.001,0,1,4,False,False,,,reduced_hold,1.0,0.73422371791733,0.6956563822491486,0.9999783716655647,0.018698506197667327,0.038237615298521675,True,2,1,4,1,True,2,,,2,2,2,270,,,,,,,,,6,0.8,2.9257450230068412e-06,6.912629623969603e-07,2.7552725798537056e-07,1.4764250977406181e-06,3.360591430382821e-06,False,0.0029016717928214385,0.0,0.0029016717928214385,0.9022075922150805,0.9022075922150805,-0.9786696129325639,0.5390272274525895,3.140290796624407,3.0430981662608536,0.9690497993153918,0.0054633450797991505,0.038237615298521675,0.03277427021872253,0.0054633450797991505,0.038237615298521675,0.03277427021872253,0.022304863862737057,0.029893348064662817,0.00758848420192576,0.011498732058085066,0.04201653963041232,0.030517807572327253,9.057986296311194,9.057986626947399,9.057986295794358,0.192727550551059,0.0007326743040281545,4,none,0.0705116231876329,0.07751072183167348,0.0705116231876329,2.592791940539792,2.478780611744321,0.059789388126173036,0.056892185499235276,72,0.01861369508392746,0.017629044488937273,0.2639805218268203,0.250016148997535,0.366681763161695,0,False,0,False,-0.0012005918538667106,-0.36349803374971995,,-0.00039804000072665426,-0.008598049894796888,,0.46448619247463185,0,False,False,False,False,False,0.020005403847252218,2972,1550,0
4,True,4,4,1,0.003,0.0005,0.001,0,2,4,False,False,,,reduced_hold,1.0,0.7342518773424831,0.6959445051451072,1.0000574050774018,0.018377452920555464,0.04017247070109435,True,2,1,4,1,True,2,,,2,2,2,272,,,,,,,,,6,0.8,2.4333017430563367e-06,6.440225400014756e-07,2.8767425666381455e-07,1.2546785491917948e-06,2.827135855338414e-06,False,0.003308701665156245,0.0,0.003308701665156245,0.8996560041144304,0.8996560041144304,-0.9772022816072021,0.5875658998670835,3.140290796624407,3.045265108774277,0.969739844490747,0.004743255365226182,0.04017247070109435,0.03542921533586817,0.004743255365226182,0.04017247070109435,0.03542921533586817,0.022062170500664585,0.02988601140803601,0.007823840907371423,0.011506010827916906,0.043547103429753625,0.03204109260183672,8.9102019271268,8.91020232298061,8.910201926008716,0.18538965045416342,0.0006792668969181307,4,none,0.11074050781630422,0.12164877176260731,0.11074050781630422,3.2409899255145342,3.103139121991593,0.0750688984281829,0.07137321496899632,113,0.029406288058122718,0.027443813670872494,0.26554229015187214,0.24782091225729386,0.3105766403223009,0,False,0,False,0.0015223057377359728,0.35994950287875005,,0.004558812789475969,0.008190438120295265,,0.46842262725086903,0,False,False,False,False,False,0.017504962708233124,2972,1550,0
5,True,5,5,1,0.0035,0.0005,0.001,0,0,8,False,False,,,component_gap;component_dt_reduce,1.0,0.7342782626183033,0.6962211036704989,1.000140875863711,0.018158997505964537,0.04224935673131577,True,2,1,4,1,True,2,,,2,2,2,267,,,,,,,,,6,0.8,2.1421733000762987e-06,5.981324086800658e-07,2.996696915146497e-07,1.1127011239371684e-06,2.5049100864295947e-06,False,0.003611935357325938,0.0,0.003611935357325938,0.897122041051034,0.897122041051034,-0.9761805435609593,0.6261030423421521,3.140290796624407,3.04724640028885,0.9703707706192135,0.004228720524667169,0.04224935673131577,0.0380206362066486,0.004228720524667169,0.04224935673131577,0.0380206362066486,0.02186948478828924,0.029880902717804792,0.008011417929515551,0.011497716908556402,0.04540505665934165,0.03390733975078525,8.77513049391998,8.775130956871632,8.775130491978183,0.1785716497399618,0.0006415981260094791,4,none,0.14527378430070487,0.15932759487707754,0.14527378430070487,3.789465143751216,3.63586427305598,0.08408975347869706,0.07991155521248366,148,0.03730985212595744,0.03730232492451458,0.25682439750264296,0.2567725836018825,0.26777398788906914,0,False,0,False,0.0026563338636370628,-0.3428727702386162,,0.00087509237189585,0.00178064990881904,,0.4683841162073075,0,False,False,False,False,False,0.0073929142447938774,2972,1550,0
6,True,6,6,1,0.00375,0.00025,0.001,0,1,8,False,False,,,component_gap,1.0,0.7342909704848755,0.6964105740731429,1.0001959088552228,0.01804730305485262,0.04364567848799356,True,2,1,4,1,True,2,,,2,2,2,290,,,,,,,,,6,0.8,1.0451654699483298e-06,3.402125131556703e-07,1.5330038437679463e-07,6.019213942785766e-07,1.2625077371724692e-06,False,0.0037565305990329197,0.0,0.0037565305990329197,0.8954064197901512,0.8954064197901512,-0.9757358869777025,0.6466891820197098,3.140290796624407,3.0483901055339153,0.9707349742293679,0.0039916284327083645,0.04364567848799356,0.039654050055285196,0.0039916284327083645,0.04364567848799356,0.039654050055285196,0.02176655408990145,0.029878679434888512,0.008112125344987061,0.011464849199860197,0.046713857651659224,0.03524900845179903,8.703024862856765,8.703025370316196,8.703024860809517,0.17469138113575944,0.0006233232881975156,4,none,0.16608424909368752,0.1819348887466749,0.16608424909368752,4.138494828089718,3.9789526343749326,0.08792321667858842,0.08348139038341594,169,0.043259277849252493,0.04225940846897487,0.26046586648231823,0.2544456123899895,0.24637907503051276,0,False,0,False,0.003048162444101367,-0.33873954619980307,,0.001623436635199558,-0.0008368089902049366,,0.468384027869379,0,False,False,False,False,False,0.0027223354357057794,2972,1550,0
7,True,7,7,1,0.004,0.00025,0.001,0,2,8,False,False,,,component_gap,1.0,0.7343032547378385,0.6965989422024175,1.0002476322124254,0.017943011947886386,0.0450192833879244,True,2,1,4,1,True,2,,,2,2,2,295,,,,,,,,,6,0.8,9.454616969044001e-07,3.2175530258741454e-07,1.5736501182768994e-07,5.588882419095205e-07,1.1552247006313144e-06,False,0.0038576343111067415,0.0,0.0038576343111067415,0.8944120646358067,0.8944120646358067,-0.9753440110170435,0.6629536720948325,3.140290796624407,3.049456005918079,0.9710744015159459,0.0038068062516077718,0.0450192833879244,0.04121247713631663,0.0038068062516077718,0.0450192833879244,0.04121247713631663,0.021685231639525838,0.029876720055085217,0.008191488415559379,0.011430394659461034,0.04807517093208688,0.03664477627262584,8.632664629855961,8.632665176807803,8.632664627225427,0.1710049588045233,0.0006110072872918354,4,none,0.1790275252306079,0.19592988018981428,0.1790275252306079,4.28807897851797,4.125819241307804,0.09138352216522412,0.0867839887109837,182,0.046262545619759954,0.04426469734221907,0.2584102392085715,0.24725079166011532,0.232122405496458,0,False,0,False,0.33281025776848183,-0.0008378428752145132,,0.0035990267297349885,-0.0012135300827916407,,0.46839417307863357,0,False,False,False,False,False,0.002011187460985731,2972,1550,0
8,True,8,8,1,0.00425,0.00025,0.001,0,3,8,False,False,,,component_gap,1.0,0.7343151671933548,0.6967866870766755,1.0002969066406426,0.017842787929393478,0.04634453074989836,True,2,1,4,1,True,2,,,2,2,2,315,,,,,,,,,6,0.8,8.810155165984279e-07,3.072647828312859e-07,1.612088842200514e-07,5.213397177513877e-07,1.0809178474389822e-06,False,0.004031679515485883,0.0,0.004031679515485883,0.8937990476820178,0.8937990476820178,-0.9750292746743598,0.6755790015210286,3.140290796624407,3.0504542864952655,0.9713922958263261,0.0036581038021475964,0.04634453074989836,0.042686426947750766,0.0036581038021475964,0.04634453074989836,0.042686426947750766,0.021622104992394857,0.029875146373371797,0.00825304138097694,0.011396052030511122,0.049462601955926236,0.03806654992541511,8.56271510009387,8.562715682019025,8.562715096901428,0.1675302641261688,0.0006039923378146975,4,none,0.19006322171696646,0.20777179602631474,0.19006322171696646,4.537385895898399,4.370562027556097,0.09158215800605873,0.08697427036551857,193,0.048271636829172675,0.048260651880602176,0.2539767367568703,0.25391894046955465,0.21898489806346366,0,False,0,False,-0.328297585691433,-0.0018322153701223621,,-0.002036694053199235,0.003132671991805441,,0.46841443889928414,0,False,False,False,False,False,0.007116939034193612,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.00025,0.001,0,4,8,False,False,,,component_gap,1.0,0.7343267534983149,0.6969730784688472,1.0003442475860014,0.017743733558963953,0.0475961777119843,True,2,1,4,1,True,2,,,2,2,2,330,,,,,,,,,5,0.8,3.7862857281299674e-06,1.4262998722399335e-06,8.224546871732283e-07,2.419483469564361e-06,4.785459529924033e-06,False,0.004174728201328776,0.0,0.004174728201328776,0.8935476848111942,0.8935476848111942,-0.974788573443704,0.6856729382991006,3.140290796624407,3.0513936145967278,0.9716914172014778,0.0035341320723056764,0.0475961777119843,0.044062045639678624,0.0035341320723056764,0.0475961777119843,0.044062045639678624,0.021571635308504495,0.02987394286721852,0.008302307558714025,0.01136336012812595,0.05085277401310573,0.03948941388497978,8.492220038427062,8.49222064544807,8.49222003219661,0.16429396087952428,0.0006016774390900171,4,none,0.20717440148971042,0.226072938682727,0.20717440148971042,4.786692813278804,4.614292778036702,0.09445892916110105,0.08979681674116023,210,0.054298538374743334,0.05129522165196504,0.2620909629003569,0.2475944000953838,0.19607146384995508,0,False,0,False,-0.006560069582197768,0.32678662985322704,,-0.003254897239713041,0.006400814191652705,,0.468440036934813,0,False,False,False,False,False,0.003487803383514459,2972,1550,0
