label,role,scenario_name,mechanism_tags,key_observables,backend,geometry,solver_mode,restart_mode,converged,wall_time_seconds,degrees_of_freedom_total,mesh_num_cells_final,mesh_num_vertices_final,mass_final,ratio_final,min_J,area_ratio_final,max_u_final,lumen_interface_measure_ref_final,lumen_interface_measure_def_final,lumen_characteristic_length_ref_final,lumen_characteristic_length_def_final,flow_potential_min_final,flow_potential_max_final,flow_potential_range_final,p_eff_min_final,p_eff_max_final,p_eff_range_final,theta_eq_min_final,theta_eq_max_final,theta_eq_range_final,storage_strain_min_final,storage_strain_max_final,storage_strain_range_final
canonical-disk-growth-tissue-microlumens-gmax8p0-grate2p5-tend2p8,peer,Canonical Disk Tissue-Phase Mass-Preserving Deformation g_max=8.0,"hydraulic:closed, preferred_hydration","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,True,14980.242333088885,18342,2972,1550,0.734055680222957,0.961384901601512,3.2335304612804667,7.073387454285988,1.665677969488967,3.6897423763652477,8.52316792040923,0.37696042160223814,0.9334027222211938,-0.004309292700396463,0.003350270229839123,0.0076595629302355864,-0.004309292700396463,0.003350270229839123,0.0076595629302355864,0.020043204433371292,0.030118205546944065,0.010075001113572773,-0.10699386094969959,0.1755273614162961,0.2825212223659957
canonical-disk-growth-linked-microlumens-gmax8p0-grate2p5-tend2p8,peer,Canonical Disk Linked Mass-Preserving Deformation g_max=8.0,"hydraulic:closed, preferred_hydration","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,True,14913.087194476044,18342,2972,1550,0.7340556802229592,1.091566543862118,4.981547905123563,7.54755623652118,1.752494276703957,3.3407126929017608,8.984844737453791,0.3899200146018769,0.966439932680134,0.008058608219123593,0.01093167231667177,0.0028730640975481777,0.008058608219123593,0.01093167231667177,0.0028730640975481777,0.01992201443082236,0.029965888578372332,0.010043874147549973,-0.0718418212235163,0.18009118401175236,0.2519330052352687
canonical-disk-growth-lumen-only-microlumens-gmax8p0-grate2p5-tend2p8,peer,Canonical Disk Lumen-Phase Mass-Preserving Deformation g_max=8.0,"hydraulic:closed, preferred_hydration","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,True,17665.583219512948,18342,2972,1550,0.7340556802229582,1.0267153197560284,0.5544285050485576,1.0204384990301965,0.09595654861047884,4.78669280761712,9.292964783496474,0.34275097189378895,0.14000066851949403,0.023461048976022195,0.025650564765488687,0.0021895157894664917,0.023461048976022195,0.025650564765488687,0.0021895157894664917,0.0201619989150379,0.03091062722594639,0.01074862831090849,-0.13016581915410913,0.36078458743582964,0.49095040658993877
