step,time
0,0.0
6,0.006437500000000002
30,0.03000000000000002
63,0.06300000000000004
97,0.09700000000000007
130,0.1300000000000001
163,0.16300000000000012
197,0.19700000000000015
230,0.23000000000000018
263,0.2630000000000002
297,0.2970000000000002
330,0.33000000000000024
364,0.36400000000000027
397,0.3970000000000003
430,0.4300000000000003
464,0.46400000000000036
497,0.4970000000000004
531,0.5310000000000004
564,0.5640000000000004
597,0.5970000000000004
623,0.6234999999999995
632,0.6324531249999911
635,0.6354531249999907
639,0.639458007812486
641,0.6414270172119387
644,0.6444972915647849
646,0.6464363098149022
649,0.6494800043115194
650,0.6504769363431366
652,0.6524613270312603
654,0.6544892660998495
656,0.6564958432014683
657,0.6574473723965131
659,0.6594736484313819
661,0.6614739883332528
663,0.6634710991673525
664,0.6644656418539849
665,0.6654994428045634
665,0.6654994428045634
666,0.6658462241360865
