label,role,scenario_name,mechanism_tags,key_observables,backend,geometry,solver_mode,restart_mode,converged,wall_time_seconds,degrees_of_freedom_total,mesh_num_cells_final,mesh_num_vertices_final,mass_final,ratio_final,min_J,area_ratio_final,max_u_final,lumen_interface_measure_ref_final,lumen_interface_measure_def_final,lumen_characteristic_length_ref_final,lumen_characteristic_length_def_final,flow_potential_min_final,flow_potential_max_final,flow_potential_range_final,p_eff_min_final,p_eff_max_final,p_eff_range_final,theta_eq_min_final,theta_eq_max_final,theta_eq_range_final,storage_strain_min_final,storage_strain_max_final,storage_strain_range_final
canonical-disk-mi-calibration-homogeneous-srate15-tend14p0-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,25720.530117679038,18342,2972,1550,3.283135702795012,0.999956144833403,0.2272391476856883,0.48672879058161245,0.36080403159960434,8.178908466125712,7.805352990509732,0.6892557893724953,0.32438227930644864,0.028105014209560256,0.292372410706169,0.26426739649660874,0.028105014209560256,0.292372410706169,0.26426739649660874,0.018100069847007565,0.028638956436554747,0.010538886589547183,0.19047828035178066,2.928375001475146,2.7378967211233656
canonical-disk-mi-calibration-homogeneous-srate30-tend7p0-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,76779.91399657691,18342,2972,1550,3.6547249390729766,1.0248321969953276,0.01909215267886814,0.3226442303311054,0.586658854635412,6.232936957673639,4.121113508652558,0.9224067662762833,0.39337532843068895,0.020126689709935735,0.6391127147366927,0.618986025026757,0.020126689709935735,0.6391127147366927,0.618986025026757,0.014189360124938807,0.028606377626382788,0.01441701750144398,0.20184634104954693,5.053210728713826,4.85136438766428
canonical-disk-mi-calibration-homogeneous-srate75-tend2p8-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,,,2972,1550,4.245625327842649,0.994333050555521,0.010573845075065902,0.14435690663711057,0.6965773945642361,8.898757123015518,8.91105176447005,0.660814294380165,0.07471727114302731,0.026673408430947714,1.2785772031307805,1.2519037946998328,0.026673408430947714,1.2785772031307805,1.2519037946998328,0.01250492515275067,0.028464092751390526,0.015959167598639856,-0.005101831223201847,8.770464970065804,8.775566801289006
canonical-disk-mi-calibration-lumen-srate15-tend14p0-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration, source:lumen","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,,,2972,1550,3.481716657498923,1.0000425849623131,0.005621281976097774,0.570053729126154,0.3660359786839141,9.796064310970927,10.085404218777219,0.5587725388136155,0.28673981766765755,0.07422115629713977,0.47517179117326236,0.4009506348761226,0.07422115629713977,0.47517179117326236,0.4009506348761226,0.00982931042559227,0.02874462711563436,0.01891531669004209,0.05741754182351071,4.751990351157903,4.694572809334392
canonical-disk-mi-calibration-lumen-srate30-tend7p0-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration, source:lumen","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,,,2972,1550,3.8021295063610068,1.0001497702016937,0.003310148037316918,0.5375150922957282,0.4417755467396666,10.38390935155998,10.965245463928532,0.5303024266367633,0.24889456791264084,0.053734221101936645,0.6331711409823368,0.5794369198804002,0.053734221101936645,0.6331711409823368,0.5794369198804002,0.006914825036298665,0.028745807331273982,0.021830982294975317,0.0380022716190653,6.33198343563039,6.293981164011324
canonical-disk-mi-calibration-lumen-srate75-tend2p8-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration, source:lumen","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,61635.84351539402,18342,2972,1550,3.6137025947308583,1.0001642049468167,0.0029568975104020405,0.5920339589733654,0.39787097787387593,7.936609484127915,7.368016812217597,0.6770382674257641,0.39937714436602295,0.03269924826177467,0.5980165566850083,0.5653173084232337,0.03269924826177467,0.5980165566850083,0.5653173084232337,0.007156815789115742,0.02881264446222338,0.021655828673107638,0.045337910074043,5.981626316485562,5.936288406411519
canonical-disk-mi-calibration-tissue-srate15-tend14p0-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration, source:tissue","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,75110.80499756103,18342,2972,1550,3.3261386604053937,0.9983478587315205,0.0035428548630482494,0.6584589188307639,0.3237311205017163,6.751331089640933,5.8920303959802975,0.7849490133402884,0.5543400665890571,0.10051945210746953,0.4312995714171497,0.33078011930968015,0.10051945210746953,0.4312995714171497,0.33078011930968015,0.008912189508213098,0.028863871976004138,0.01995168246779104,0.3967136098003484,3.410517357414365,3.0138037476140163
canonical-disk-mi-calibration-tissue-srate30-tend7p0-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration, source:tissue","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,,,2972,1550,3.639827999006859,0.9990524954682793,0.0037308163821158785,0.553807331629522,0.40090443325569664,10.54358929361398,11.365179329693367,0.5229349705938414,0.24838131128606264,0.06078919630195075,0.7060575918239683,0.6452683955220175,0.06078919630195075,0.7060575918239683,0.6452683955220175,0.00793464588817936,0.028710963888554188,0.020776318000374827,0.5573923634117262,5.140594749939163,4.583202386527438
canonical-disk-mi-calibration-tissue-srate75-tend2p8-v1,peer,Canonical Disk Homogeneous Source-Driven Mass Increase Tend0p02 Pilot,"deformation:mass_increasing, mechanism:source_driven, source:homogeneous, geometry:disk, canonical:disk, hydraulic:closed, preferred_hydration, source:tissue","lumen_n_components, lumen_total_volume_def, lumen_largest_fraction, area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,35137.814288591035,18342,2972,1550,3.482749631874409,1.000933956931258,0.10934915972822314,0.32881544036840943,0.4885923613262129,6.091646020730383,3.4653301652281865,0.9455634796445476,0.4868658847997354,0.014277988878538594,1.0996291903192483,1.0853512014407096,0.014277988878538594,1.0996291903192483,1.0853512014407096,0.01737677344435367,0.02850135352948708,0.01112458008513341,0.14275836059991515,7.434001447481792,7.291243086881877
