label,role,scenario_name,mechanism_tags,key_observables,backend,geometry,solver_mode,restart_mode,converged,wall_time_seconds,degrees_of_freedom_total,mesh_num_cells_final,mesh_num_vertices_final,mass_final,ratio_final,min_J,area_ratio_final,max_u_final,flow_potential_min_final,flow_potential_max_final,flow_potential_range_final,p_eff_min_final,p_eff_max_final,p_eff_range_final,theta_eq_min_final,theta_eq_max_final,theta_eq_range_final,storage_strain_min_final,storage_strain_max_final,storage_strain_range_final
fixed2-snes-default-visual,peer,,"hydraulic:closed, preferred_hydration","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,True,5.925521828001365,18342,2972,1550,0.5835720178604034,1.0174979985546582,0.8581168124515397,0.9798480747703161,0.013674027002832484,0.007102237987789605,0.022836778628452563,0.01573454064066296,0.007102237987789605,0.022836778628452563,0.01573454064066296,0.022312297864396813,0.029903872802110168,0.007591574937713355,0.007135331615288059,0.036729302930832264,0.029593971315544206
fixed2-snes-gmres-ilu-restart50-visual,peer,,"hydraulic:closed, preferred_hydration","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,True,5.96222431701608,18342,2972,1550,0.5835720178604035,1.0174979985547479,0.8581168124514451,0.9798480747701827,0.013674027002561394,0.007102237986354714,0.022836778626721278,0.015734540640366564,0.007102237986354714,0.022836778626721278,0.015734540640366564,0.022312297864397965,0.02990387280211027,0.007591574937712304,0.00713533161391811,0.03672930293218248,0.029593971318264373
fixed2-snes-biot-lu-visual,peer,,"hydraulic:closed, preferred_hydration","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,False,67.18121665000217,18342,2972,1550,0.5835720178604035,1.015043336656825,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022181668653079252,0.02997089252604989,0.007789223872970638,0.0,0.0,0.0
