probe,case,backend,ok,status,accepted_evolved_steps,accepted_rows,metrics_row_count,final_time,biot_options,has_lu,has_ilu,has_preonly,has_gmres,has_fgmres,uses_newtontr,error,startup_seconds,run_seconds,total_seconds,run_dir
canonical_disk_phase1,snes_default,snes,True,pass,41,42,42,0.025,"snes_type=newtonls, snes_linesearch_type=bt, snes_max_it=40",False,False,False,False,False,False,,15.041441467998084,83.32166416099062,98.36310780397616,output/canonical-disk-solver-matrix/2026-03-25/phase1/snes_default/run/canonical_disk
canonical_disk_phase1,snes_biot_gmres_ilu_explicit,snes,True,pass,41,42,42,0.025,"snes_type=newtonls, snes_linesearch_type=bt, snes_max_it=40, ksp_type=gmres, pc_type=ilu",False,True,False,True,False,False,,15.023464454978239,81.76367163303075,96.78713820496341,output/canonical-disk-solver-matrix/2026-03-25/phase1/snes_biot_gmres_ilu_explicit/run/canonical_disk
canonical_disk_phase1,snes_biot_gmres_ilu_restart50,snes,True,pass,41,42,42,0.025,"snes_type=newtonls, snes_linesearch_type=bt, snes_max_it=40, ksp_type=gmres, pc_type=ilu, ksp_gmres_restart=50",False,True,False,True,False,False,,14.923102936998475,76.58780135703273,91.51090594299603,output/canonical-disk-solver-matrix/2026-03-25/phase1/snes_biot_gmres_ilu_restart50/run/canonical_disk
canonical_disk_phase1,snes_biot_newtontr_gmres_ilu,snes,True,pass,41,42,42,0.025,"snes_type=newtontr, snes_max_it=40, ksp_type=gmres, pc_type=ilu",False,True,False,True,False,True,,15.471305268001743,73.4618418890168,88.93314864498097,output/canonical-disk-solver-matrix/2026-03-25/phase1/snes_biot_newtontr_gmres_ilu/run/canonical_disk
canonical_disk_phase1,snes_biot_preonly_ilu,snes,False,fail,0,1,7,0.0,"snes_type=newtonls, snes_linesearch_type=bt, snes_max_it=40, ksp_type=preonly, pc_type=ilu",False,True,True,False,False,False,"RuntimeError: Nonconvergence at step 1 (ch=True, biot=False, split=0.0).",14.832394836004823,28.041575303010177,42.87398444401333,output/canonical-disk-solver-matrix/2026-03-25/phase1/snes_biot_preonly_ilu/run/canonical_disk
canonical_disk_phase1,snes_biot_gmres_lu,snes,False,fail,0,1,7,0.0,"snes_type=newtonls, snes_linesearch_type=bt, snes_max_it=40, ksp_type=gmres, pc_type=lu",True,False,False,True,False,False,"RuntimeError: Nonconvergence at step 1 (ch=True, biot=False, split=1.1883925128669366e-06).",14.773472014989238,89.80790936300764,104.58139666501665,output/canonical-disk-solver-matrix/2026-03-25/phase1/snes_biot_gmres_lu/run/canonical_disk
