label,role,scenario_name,mechanism_tags,key_observables,backend,geometry,solver_mode,restart_mode,hydraulic_mode,biomass_mode,pf_role,source_mode,source_pressure_independent,targeted_source_channel,configured_g_rate,configured_pf_rate,configured_theta_rate,configured_theta_per_g,effective_theta_rate,theta_source_profile,theta_seed_radius,target_constituent,source_pf,source_theta,source_region,division_site_active_indices,division_site_active_count,converged,wall_time_seconds,degrees_of_freedom_total,mesh_num_cells_final,mesh_num_vertices_final,mass_final,ratio_final,min_J,mechanical_history_band,numerical_cost_band,min_J_min,min_J_time_of_min,min_J_final,min_J_duration_below_0_95,min_J_duration_below_0_8,min_J_duration_below_0_5,min_J_duration_below_0_2,min_J_recovered_above_0_95,min_Je_min,min_Je_time_of_min,max_pf_max,max_pf_time_of_max,p_eff_range_max,p_eff_range_time_of_max,source_pf_min,source_pf_time_of_min,source_pf_max,source_pf_time_of_max,source_pf_sign_change,source_theta_min,source_theta_time_of_min,source_theta_max,source_theta_time_of_max,source_theta_sign_change,J_fraction_ref_below_0_8_max,J_fraction_ref_below_0_8_time_of_max,J_fraction_def_below_0_8_max,J_fraction_def_below_0_8_time_of_max,J_p01_ref_min,J_p01_ref_time_of_min,J_p05_ref_min,J_p05_ref_time_of_min,J_p01_def_min,J_p01_def_time_of_min,J_p05_def_min,J_p05_def_time_of_min,low_J_extent_warning,min_J_min_all_attempts,min_J_time_of_min_all_attempts,max_pf_max_all_attempts,max_pf_time_of_max_all_attempts,p_eff_range_max_all_attempts,p_eff_range_time_of_max_all_attempts,source_pf_min_all_attempts,source_pf_time_of_min_all_attempts,source_pf_max_all_attempts,source_pf_time_of_max_all_attempts,source_pf_sign_change_all_attempts,source_theta_min_all_attempts,source_theta_time_of_min_all_attempts,source_theta_max_all_attempts,source_theta_time_of_max_all_attempts,source_theta_sign_change_all_attempts,accepted_steps,attempt_rows,min_dt_accepted,min_dt_attempted,failed_attempts_total,g_final,g_increment_final,total_volume_ratio_final,lumen_volume_ratio_final,tissue_volume_ratio_final,area_ratio_final,domain_measure_ref_final,domain_measure_def_final,domain_measure_ratio_final,max_u_final,J_fraction_ref_below_0_8_final,J_fraction_def_below_0_8_final,J_p01_ref_final,J_p05_ref_final,J_p01_def_final,J_p05_def_final,lumen_interface_measure_ref_final,lumen_interface_measure_def_final,lumen_characteristic_length_ref_final,lumen_characteristic_length_def_final,flow_potential_min_final,flow_potential_max_final,flow_potential_range_final,p_eff_min_final,p_eff_max_final,p_eff_range_final,theta_eq_min_final,theta_eq_max_final,theta_eq_range_final,storage_strain_min_final,storage_strain_max_final,storage_strain_range_final
bio-mass-g-only-calibration-rate-0p2,peer,g-only rate 0.2,"constituent_addition, biomass_mode:g_only, geometry:disk, fixed_mesh, direct_start, growth_regime:rate_ladder, growth_rate:0p2, target_regime:nonexpanding, division_sites:dormant_material_scaffold, hydraulic:closed, preferred_hydration, source_g","g_final, g_increment_final, area_ratio, max_u, min_J, p_eff_range_final, storage_strain_range_final, site_count",snes,disk,monolithic,startup,,g_only,response_only,not_applicable,True,g,0.2,0.0,0.0,0.0,0.0,uniform,0.0,tissue,0.0,0.0,all,,0,True,299.2877554851584,18342,2972,1550,0.5835720178604032,1.5929679982710458,0.8420012093048641,amber,amber,0.7752284742981553,0.022000000000000016,0.8420012093048641,0.0495,0.007500000000000007,0.0,0.0,False,0.7752232276481057,0.022000000000000016,1.0369566733650932,0.05,0.028952409832348626,0.02550000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.002820288321898903,0.024000000000000018,0.0022681770505414735,0.024000000000000018,0.847245297855232,0.036000000000000025,0.9271005450202704,0.001,0.851939431670235,0.03800000000000003,0.9293403175674992,0.0005,False,0.7752284742981553,0.022000000000000016,1.0369566733650932,0.05,0.028952409832348626,0.02550000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,101,101,0.0004999999999999657,0.0004999999999999657,0,1.01,0.010000000000000009,0.9933566870850591,0.9329498242884704,1.0004360829384715,0.9933566870850591,3.140290796624407,3.119428862218522,0.9933566870850591,0.015359995400077184,0.0,0.0,0.85128044548174,0.9410140668584778,0.8534567322224134,0.9521936911060418,2.592791940742088,2.5593248409411204,0.2541048995391457,0.24016713778790813,0.0010411573079440394,0.012687731060047449,0.01164657375210341,0.0010411573079440394,0.012687731060047449,0.01164657375210341,0.019815216633174537,0.02992860015902936,0.010113383525854822,-0.00234225216720773,0.02653788429919761,0.02888013646640534
bio-mass-g-only-calibration-rate-0p5,peer,g-only rate 0.5,"constituent_addition, biomass_mode:g_only, geometry:disk, fixed_mesh, direct_start, growth_regime:rate_ladder, growth_rate:0p5, target_regime:near_threshold, division_sites:dormant_material_scaffold, hydraulic:closed, preferred_hydration, source_g","g_final, g_increment_final, area_ratio, max_u, min_J, p_eff_range_final, storage_strain_range_final, site_count",snes,disk,monolithic,startup,,g_only,response_only,not_applicable,True,g,0.5,0.0,0.0,0.0,0.0,uniform,0.0,tissue,0.0,0.0,all,,0,True,297.3896639351733,18342,2972,1550,0.5835720178604029,1.5970710771738361,0.8582874706747333,amber,amber,0.7829192702889848,0.022000000000000016,0.8582874706747333,0.0495,0.006000000000000005,0.0,0.0,False,0.7829066176419488,0.022000000000000016,1.0370207268190708,0.05,0.02868352937525564,0.02600000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0016374949403627312,0.023000000000000017,0.0013106130796393558,0.023500000000000017,0.859571042335564,0.035500000000000025,0.9272845340130866,0.001,0.8647678092476134,0.03800000000000003,0.9294315208864953,0.0005,False,0.7829192702889848,0.022000000000000016,1.0370207268190708,0.05,0.02868352937525564,0.02600000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,101,101,0.0004999999999999657,0.0004999999999999657,0,1.025,0.02499999999999991,1.0073331555093217,0.9463717657642959,1.0145036331602715,1.0073331555093217,3.140290796624407,3.1633190373805453,1.0073331555093217,0.012765329971716671,0.0,0.0,0.8674581845731214,0.9539461497680172,0.8698030656486281,0.9636798364707245,2.542930557265942,2.5197661874982296,0.25993403923129027,0.24825567624087613,0.0008194873634389473,0.01320641724881649,0.012386929885377542,0.0008194873634389473,0.01320641724881649,0.012386929885377542,0.019814896365904645,0.02992873159169719,0.010113835225792546,-0.0030459586756554947,0.024691786800927113,0.027737745476582608
bio-mass-g-only-calibration-rate-1p0,peer,g-only rate 1.0,"constituent_addition, biomass_mode:g_only, geometry:disk, fixed_mesh, direct_start, growth_regime:rate_ladder, growth_rate:1p0, target_regime:transition, division_sites:dormant_material_scaffold, hydraulic:closed, preferred_hydration, source_g","g_final, g_increment_final, area_ratio, max_u, min_J, p_eff_range_final, storage_strain_range_final, site_count",snes,disk,monolithic,startup,,g_only,response_only,not_applicable,True,g,1.0,0.0,0.0,0.0,0.0,uniform,0.0,tissue,0.0,0.0,all,,0,True,264.17050228407606,18342,2972,1550,0.5835720178604036,1.6039701822090562,0.885438169770171,amber,amber,0.7957503977626504,0.022000000000000016,0.885438169770171,0.0495,0.0030000000000000027,0.0,0.0,False,0.7957266392645385,0.022000000000000016,1.0370438638373514,0.05,0.028252110902265263,0.02600000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0005324723929157568,0.022000000000000016,0.00042549677141152,0.022000000000000016,0.8727679189306083,0.02500000000000002,0.9274774756434263,0.0005,0.8796005647102121,0.0025,0.9295835191497324,0.0005,False,0.7957503977626504,0.022000000000000016,1.0370438638373514,0.05,0.028252110902265263,0.02600000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,101,101,0.0004999999999999657,0.0004999999999999657,0,1.05,0.050000000000000044,1.0306210581877053,0.9685436359146024,1.0379493991898536,1.0306210581877053,3.140290796624407,3.2364498238341586,1.0306210581877053,0.01664298882115271,0.0,0.0,0.8944863875947948,0.9742291002190308,0.8967325608611569,0.9813028540332015,2.493069173789788,2.4893048608993182,0.2659963445111232,0.2580186518867282,0.0004611995238764571,0.01405212519790464,0.013590925674028182,0.0004611995238764571,0.01405212519790464,0.013590925674028182,0.019814780680813243,0.02992901974427328,0.010114239063460036,-0.004186806732991573,0.02177469012754464,0.025961496860536212
bio-mass-g-only-calibration-rate-2p5,peer,g-only rate 2.5,"constituent_addition, biomass_mode:g_only, geometry:disk, fixed_mesh, direct_start, growth_regime:rate_ladder, growth_rate:2p5, target_regime:expanding, division_sites:dormant_material_scaffold, hydraulic:closed, preferred_hydration, source_g","g_final, g_increment_final, area_ratio, max_u, min_J, p_eff_range_final, storage_strain_range_final, site_count",snes,disk,monolithic,startup,,g_only,response_only,not_applicable,True,g,2.5,0.0,0.0,0.0,0.0,uniform,0.0,tissue,0.0,0.0,all,,0,True,266.18257921305485,18342,2972,1550,0.583572017860404,1.625053458983378,0.9667782190758979,green,amber,0.8343075801269814,0.022000000000000016,0.9667782190758979,0.04400000000000003,0.0,0.0,0.0,True,0.8342595733003549,0.022000000000000016,1.0365940261547786,0.05,0.02708470607484677,0.02750000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8792197410355714,0.003,0.9279386156802377,0.0005,0.8818189566451184,0.0025,0.9300394596163881,0.0005,False,0.8343075801269814,0.022000000000000016,1.0365940261547786,0.05,0.02708470607484677,0.02750000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,101,101,0.0004999999999999657,0.0004999999999999657,0,1.125,0.125,1.1004448869405248,1.0349228090152442,1.1083205362265534,1.1004448869405248,3.140290796624407,3.4557169506517162,1.1004448869405248,0.05076130081629026,0.0,0.0,0.9754061007089698,1.0305354473061679,0.9772049069873451,1.0353293597477033,2.542930557265934,2.606861497439931,0.2650141833205238,0.2675430163236274,-0.0012263211438495486,0.016461076602542847,0.017687397746392396,-0.0012263211438495486,0.016461076602542847,0.017687397746392396,0.01981702986922611,0.029930326734203025,0.010113296864976914,-0.009426014699900143,0.016494777889665718,0.02592079258956586
bio-mass-g-only-calibration-rate-5p0,peer,g-only rate 5.0,"constituent_addition, biomass_mode:g_only, geometry:disk, fixed_mesh, direct_start, growth_regime:rate_ladder, growth_rate:5p0, target_regime:strong_expansion, division_sites:dormant_material_scaffold, hydraulic:closed, preferred_hydration, source_g","g_final, g_increment_final, area_ratio, max_u, min_J, p_eff_range_final, storage_strain_range_final, site_count",snes,disk,monolithic,startup,,g_only,response_only,not_applicable,True,g,5.0,0.0,0.0,0.0,0.0,uniform,0.0,tissue,0.0,0.0,all,,0,True,273.80639871489257,18342,2972,1550,0.5835720178604022,1.661118326102542,1.0722101232563328,green,amber,0.8502569877365853,0.003,1.0722101232563328,0.02800000000000002,0.0,0.0,0.0,True,0.8487268152306825,0.003,1.0346708820039994,0.05,0.026180380953990154,0.030000000000000023,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8829151620996769,0.002,0.9287069987952205,0.0005,0.8851707337222868,0.002,0.9307991794857318,0.0005,False,0.8502569877365853,0.003,1.0346708820039994,0.05,0.026180380953990154,0.030000000000000023,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,101,101,0.0004999999999999657,0.0004999999999999657,0,1.25,0.25,1.216711083648582,1.1441207854130355,1.2257183379152057,1.216711083648582,3.140290796624407,3.8208266181325508,1.216711083648582,0.10529714216143994,0.0,0.0,1.1023869562321111,1.1325234429605398,1.1029816257679148,1.1350255266185274,2.592791940742049,2.766571775536555,0.2673914302340639,0.28671148221679466,-0.005177759821805893,0.02012335141205845,0.025301111233864346,-0.005177759821805893,0.02012335141205845,0.025301111233864346,0.019826645589980006,0.02993357454537452,0.010106928955394515,-0.021636803441199105,0.020154092240331753,0.041790895681530854
bio-mass-g-only-calibration-rate-10p0,peer,g-only rate 10.0,"constituent_addition, biomass_mode:g_only, geometry:disk, fixed_mesh, direct_start, growth_regime:rate_ladder, growth_rate:10p0, target_regime:large_expansion, division_sites:dormant_material_scaffold, hydraulic:closed, preferred_hydration, source_g","g_final, g_increment_final, area_ratio, max_u, min_J, p_eff_range_final, storage_strain_range_final, site_count",snes,disk,monolithic,startup,,g_only,response_only,not_applicable,True,g,10.0,0.0,0.0,0.0,0.0,uniform,0.0,tissue,0.0,0.0,all,,0,True,279.7646859360393,18342,2972,1550,0.5835720178604028,1.7346389350206302,1.1918060784964202,green,amber,0.8584612783541411,0.0025,1.1918060784964202,0.019000000000000013,0.0,0.0,0.0,True,0.8558203912825241,0.0025,1.0296983731264293,0.04450000000000003,0.039053477061009305,0.048500000000000036,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8879482940847757,0.0015,0.9302430786185473,0.0005,0.8897254466314048,0.001,0.9323553776739251,0.0005,False,0.8584612783541411,0.0025,1.0296983731264293,0.04450000000000003,0.039053477061009305,0.048500000000000036,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,101,101,0.0004999999999999657,0.0004999999999999657,0,1.5,0.5,1.4488538640768445,1.3557009059333294,1.4613489737479386,1.4488538640768445,3.140290796624407,4.549822455014224,1.4488538640768445,0.20700804787799773,0.0,0.0,1.245920769525671,1.3064417651240596,1.2531281060700907,1.3142388103421754,2.842098858095572,3.2421811188322662,0.2613600445911076,0.3106025305162787,-0.012391603413681663,0.02657044824756717,0.03896205166124883,-0.012391603413681663,0.02657044824756717,0.03896205166124883,0.01985472137519834,0.029941992726942878,0.010087271351744538,-0.04389872050476852,0.026602721722490823,0.07050144222725935
bio-mass-g-only-calibration-rate-20p0,peer,g-only rate 20.0,"constituent_addition, biomass_mode:g_only, geometry:disk, fixed_mesh, direct_start, growth_regime:rate_ladder, growth_rate:20p0, target_regime:extreme_expansion, division_sites:dormant_material_scaffold, hydraulic:closed, preferred_hydration, source_g","g_final, g_increment_final, area_ratio, max_u, min_J, p_eff_range_final, storage_strain_range_final, site_count",snes,disk,monolithic,startup,,g_only,response_only,not_applicable,True,g,20.0,0.0,0.0,0.0,0.0,uniform,0.0,tissue,0.0,0.0,all,,0,True,259.26421115291305,18342,2972,1550,0.5835720178604028,1.8695702444732987,1.4096261683215452,green,amber,0.8693250607568813,0.0005,1.4096261683215452,0.009500000000000005,0.0,0.0,0.0,True,0.8664065408314593,0.0015,1.0285916167913374,0.03250000000000002,0.06987285634963154,0.04350000000000003,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8929105092824865,0.0005,0.9333125100617233,0.0005,0.8943213118276022,0.0005,0.9354450050417562,0.0005,False,0.8693250607568813,0.0005,1.0285916167913374,0.03250000000000002,0.06987285634963154,0.04350000000000003,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,101,101,0.0004999999999999657,0.0004999999999999657,0,2.0,1.0,1.9112251543760497,1.758224805244057,1.9330393019250163,1.9112251543760497,3.140290796624407,6.001802762564171,1.9112251543760497,0.38785902433029973,0.0,0.0,1.5116831804978297,1.620620397459816,1.539454212891471,1.6514222471191917,2.493069173744186,3.2443881638453638,0.31435931624284985,0.4247195564290898,-0.026113297309782443,0.03761025471740731,0.06372355202718975,-0.026113297309782443,0.03761025471740731,0.06372355202718975,0.019904730419395347,0.029958475364565276,0.010053744945169928,-0.08099042072534615,0.03765388663974284,0.11864430736508899
