step,time
0,0.0
5,0.005468750000000001
6,0.006468750000000002
6,0.006468750000000002
7,0.007187500000000003
17,0.017000000000000008
34,0.03400000000000002
51,0.05100000000000004
69,0.06900000000000005
86,0.08600000000000006
103,0.10300000000000008
121,0.1210000000000001
138,0.1380000000000001
155,0.1550000000000001
173,0.17300000000000013
190,0.19000000000000014
207,0.20700000000000016
225,0.22500000000000017
242,0.2420000000000002
259,0.2590000000000002
277,0.2770000000000002
294,0.2940000000000002
311,0.3110000000000002
329,0.32900000000000024
346,0.34600000000000025
363,0.36300000000000027
381,0.3810000000000003
398,0.3980000000000003
415,0.4150000000000003
433,0.43300000000000033
450,0.45000000000000034
467,0.46700000000000036
485,0.4850000000000004
502,0.5020000000000003
519,0.5190000000000003
537,0.5370000000000004
554,0.5540000000000004
571,0.5710000000000004
588,0.5882500000000004
589,0.5894218750000005
