step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,J_fraction_ref_below_0_8,J_fraction_def_below_0_8,J_p01_ref,J_p05_ref,J_p01_def,J_p05_def,min_pf,max_pf,area_ref,area_def,area_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.00025,0,0,0,False,False,,0.0,initial_state,1.0,0.76456028523202,0.76456028523202,1.0055688597641115,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.9988921625514458,0.8497747354336983,4.183098271533233,4.183098271533233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02075112632283151,0.029994460812757227,0.009243334489925717,0.0,0.0,0.0,10.509627775221846,10.509627775221846,10.509627775221846,0.0,2.9907885361241657e-20,4,none,0.0913737753055667,0.0913737753055667,0.0913737753055667,2.456542761650365,2.456542761650365,0.11158825736562339,0.11158825736562339,1763,0.023093438276112665,0.023072703587579298,0.25273595404025906,0.25250903238287953,0.2057203840856875,0,False,0,False,0.48996852666193325,0.03840111761759044,-0.0005242422163608612,0.011247649355269491,0.02680125915120288,-0.0006503255157424946,0.7148087675017765,0,False,False,False,False,False,,93159,17213,0
1,True,1,1,1,0.00025,0.00025,0.00025,0,0,0,False,False,,,none,1.000625,0.7648708606695538,0.7214136795717416,1.0063531631097713,0.020810908217927842,0.061513580800726726,True,2,1,4,1,True,1,,,2,1,2,48,,,,,,,,,8,0.8,7.798977394057107e-07,9.984082915144213e-07,1.4504975359456077e-08,1.8852260103126198e-06,2.2714196232233928e-06,False,0.010880106095571808,0.0,0.010880106095571808,0.8469430906492507,0.8469313391285487,0.0,0.0,0.8884244678661216,0.9198174621776567,0.889959819722623,0.9213336365779305,-0.9979344088518123,0.8314711768356748,4.183098271533233,4.051786723421145,0.9686090214505148,0.001956331072802192,0.061513580800726726,0.05955724972792453,0.001956331072802192,0.061513580800726726,0.05955724972792453,0.020842644115821624,0.02998967204425906,0.009147027928437437,0.002913714220739228,0.0625096811324642,0.059595966911724974,9.840518700592021,9.840522927512543,9.84051869061463,0.17994033704856321,0.0011722063971720577,4,none,0.1014502385138649,0.1137453363882598,0.1014502385138649,2.9260155796564478,2.7361802583022765,0.11662139174421107,0.11123196822216522,2194,0.026061048995503284,0.025476981393051268,0.2568850441090052,0.2511278609716566,0.19455860074779,0,False,0,False,-0.006926303569706746,0.4980404169122319,-0.0036086606555805834,0.013413808036166713,0.035282147285435904,-0.003138152190802392,0.7138263167962388,0,False,False,False,False,False,,93159,17213,0
2,True,2,2,1,0.0005,0.00025,0.00025,0,0,0,False,False,,,none,1.00125,0.7651744156888675,0.7221818564706639,1.0071930260813204,0.020622769591450932,0.06036690410114133,True,2,1,4,1,True,1,,,2,1,2,38,,,,,,,,,6,0.8,2.8373180120610796e-06,7.993810117489243e-07,2.678259588706516e-07,1.5372893943341737e-06,3.335322012892951e-06,False,0.01092568610689628,0.0,0.01092568610689628,0.8393195363445065,0.8392900780052681,0.0,0.0,0.8839607368939548,0.9206504821283356,0.8858106528486478,0.9223440580746451,-0.9964345704493783,0.8563977702680344,4.183098271533233,4.056461580936982,0.9697265800667323,0.0018591544919312698,0.06036690410114133,0.05850774960921006,0.0018591544919312698,0.06036690410114133,0.05850774960921006,0.02071801114865983,0.02998217285224689,0.00926416170358706,0.0027002013039673423,0.0611043248069327,0.05840412350296536,9.670093643867594,9.670097835285366,9.67009363458798,0.17817440780977403,0.001057517243324199,4,none,0.1186287395967137,0.13317363857942596,0.1186287395967137,3.21190136642124,3.0081733488098266,0.12438766641935567,0.11830641971844683,2580,0.030159441893653563,0.029830024725340343,0.25423385594572273,0.2514569810549239,0.17623965536657463,0,False,0,False,-0.006127133561239636,0.5047238556031102,-0.0018290479139323789,0.012069120288894664,0.03391023657015155,-0.0024557569237656724,0.7306463257724422,0,False,False,False,False,False,0.002038623910595019,93159,17213,0
3,True,3,3,1,0.00075,0.00025,0.00025,0,0,0,False,False,,,none,1.001875,0.7654720468837931,0.722837358410223,1.0080319452704365,0.02058341692354204,0.059686378807614154,True,2,1,4,1,True,1,,,2,1,2,39,,,,,,,,,6,0.8,2.4959326807420954e-06,7.190274478693695e-07,2.491976048933829e-07,1.269541258930816e-06,2.901812342657292e-06,False,0.010840223173637805,0.0,0.010840223173637805,0.8249172541374743,0.8248790491575909,0.0,0.0,0.8800219339851904,0.9212632346256813,0.8821164361196785,0.9232518508601545,-0.9948894497770674,0.8858638475315695,4.183098271533233,4.060702624141651,0.970740432223525,0.0017853433032668088,0.059686378807614154,0.057901035504347345,0.0017853433032668088,0.059686378807614154,0.057901035504347345,0.02057068076234215,0.029974447248885334,0.009403766486543185,0.002585781009298821,0.06019115973595357,0.05760537872665475,9.544397619467146,9.544401825202103,9.544397604366363,0.1769226562601983,0.0009646966926961936,3,merge,0.13384912232238655,0.1503517970834266,0.13384912232238655,3.422437618992545,3.210104949238268,0.1317936048701615,0.1250885479811006,2919,0.06729923852255928,0.033721019635656116,0.5027992515368429,0.2519330650105892,0.287699422319398,0,False,0,False,-0.22233450113571573,-0.20947256371133144,-0.0024422903481143383,0.006567483124567299,0.030905694740946767,-0.003283805568929131,0.7303065530568528,0,False,False,False,False,False,0.006323048920426466,93159,17213,0
4,True,4,4,1,0.001,0.00025,0.00025,0,0,0,False,False,,,none,1.0025,0.7657646888415159,0.723421207354004,1.0088320080192736,0.020708335094915608,0.059212139998207666,True,2,1,4,1,True,1,,,2,1,2,39,,,,,,,,,6,0.8,2.354618026537442e-06,6.604732891139591e-07,2.410955022779622e-07,1.0657885845213212e-06,2.6785226085741207e-06,False,0.010844182437416805,0.0,0.010844182437416805,0.8060585171773615,0.8060263333279685,0.0,0.0,0.8760003899082996,0.9220031723289014,0.8792748356980412,0.9241694104870484,-0.9933493033335814,0.9123880323136474,4.183098271533233,4.064595780179579,0.9716711194283707,0.0017388498104473067,0.059212139998207666,0.05747329018776036,0.0017388498104473067,0.059212139998207666,0.05747329018776036,0.02043805983843176,0.029966746516667905,0.009528686678236146,0.002523444811300077,0.059528014031096435,0.05700456921979636,9.44666254877359,9.446666792611557,9.44666252832368,0.17613868409633213,0.0008901028920602294,3,none,0.14850949009865283,0.16682610522120636,0.14850949009865283,3.634294785951586,3.414991597004609,0.13770988462417097,0.13046253779562586,3235,0.07545600286677148,0.036662944422715456,0.5080887613084328,0.24687273788604863,0.2720640970851944,0,False,0,False,-0.22263064746850542,-0.20721428967607666,-0.0017721257928877384,0.004671703176481332,0.02841669336840291,-0.0024012773878921796,0.7520330230109404,0,False,False,False,False,False,0.003250840727321846,93159,17213,0
5,True,5,5,1,0.00125,0.00025,0.00025,0,0,0,False,False,,,none,1.003125,0.7660530904438421,0.7239688904197767,1.0095714656730235,0.02090502115661062,0.05886966541616897,True,2,1,4,1,True,1,,,2,1,2,40,,,,,,,,,6,0.8,2.2481626193519595e-06,6.172766894701233e-07,2.3560355059924228e-07,9.118659635155173e-07,2.5144132999345417e-06,False,0.01086248428527457,0.0,0.01086248428527457,0.7858726628930123,0.7858461936210015,0.0002655684694203722,0.00021670689193673302,0.8723466849217874,0.9229572381345073,0.8771006560314764,0.9251903162858204,-0.991844500566284,0.9346142779039228,4.183098271533233,4.068224573034728,0.9725386086957979,0.001681298795915534,0.05886966541616897,0.057188366620253436,0.001681298795915534,0.05886966541616897,0.057188366620253436,0.020326928610480386,0.029959222502831416,0.00963229389235103,0.0024928060801513562,0.059033965645632853,0.056541159565481496,9.368359404212294,9.368363693119463,9.368359379097443,0.17562558813550372,0.0008294654552038982,3,none,0.15923178030327806,0.17891166592227212,0.15923178030327806,3.75103593340133,3.531176831829936,0.14308980433576404,0.13527935973183242,3468,0.08126026752965107,0.03899065818159954,0.5103269421146966,0.2448673129656445,0.2606582580759008,0,False,0,False,-0.2205930365779103,-0.2086780307126193,-0.0016696458664250723,0.005037911282069302,0.025048432602007998,-0.002382475084426655,0.7733371254267861,0,False,False,False,False,False,0.003388162111477131,93159,17213,0
6,True,6,6,1,0.0015,0.00025,0.00025,0,0,0,False,False,,,none,1.00375,0.766337854162686,0.7245053420817992,1.0102383523481648,0.021228944221770515,0.05859918067106118,True,2,1,4,1,True,1,,,2,1,2,40,,,,,,,,,6,0.8,2.1196560690336e-06,5.834286322909292e-07,2.305599394908739e-07,7.950811369995066e-07,2.3491791587868096e-06,False,0.010874000221878824,0.0,0.010874000221878824,0.7658431969297831,0.7658245223598987,0.0007972213017035678,0.0006445693675048295,0.869542974238783,0.9238689589383869,0.8749019308421342,0.926458151949526,-0.9904140092241772,0.9527334311772447,4.183098271533233,4.07165269020855,0.9733581249852313,0.0015960218323427628,0.05859918067106118,0.05700315883871842,0.0015960218323427628,0.05859918067106118,0.05700315883871842,0.020236332844113778,0.029952070046120886,0.009715737202007108,0.002481687779163604,0.058645492812159805,0.0561638050329962,9.304016639212602,9.304020971528374,9.304016610223174,0.17517417883422864,0.0007795720673187731,3,none,0.16854874975024411,0.18936629092818152,0.16854874975024411,3.9496875611610855,3.7250274340651166,0.1438338764744068,0.13574295980390172,3670,0.08621119533757476,0.04159222611816572,0.5114911588802806,0.2467667436263821,0.24695951549828546,0,False,0,False,-0.2173190317487999,-0.20660947435642563,-0.002328866143630676,0.006883255428807196,0.023826922271405836,-0.0032021416180487167,0.7732450413711977,0,False,False,False,False,False,0.0023599228237397123,93159,17213,0
7,True,7,7,1,0.00175,0.00025,0.00025,0,0,0,False,False,,,none,1.004375,0.7666194671802238,0.7250475066672031,1.01082673736904,0.021522179490396757,0.05835705600494985,True,2,1,4,1,True,1,,,2,1,2,41,,,,,,,,,6,0.8,1.9575299183908703e-06,5.556415122605595e-07,2.2548292752604934e-07,7.06348102714855e-07,2.1657403039970332e-06,False,0.010882071174478666,0.0,0.010882071174478666,0.7483410477227959,0.7483283878561636,0.0012579353467601427,0.0010083203962017073,0.8674547894792739,0.9247180385884332,0.8730065378969667,0.9277652032230828,-0.9890801639982699,0.967308190718199,4.183098271533233,4.07492877187062,0.974141296082206,0.0015316952651115176,0.05835705600494985,0.056825360739838335,0.0015316952651115176,0.05835705600494985,0.056825360739838335,0.020163459046409007,0.029945400819991353,0.009781941773582346,0.002428377274856902,0.05831426055090935,0.05588588327605245,9.249839764118645,9.249844133635586,9.24983973204155,0.17462306979796136,0.0007380352468579663,3,none,0.17725167421834095,0.19906804373799653,0.17725167421834095,4.155281912971157,3.9257897334866865,0.1437216881361895,0.1354517329645022,3852,0.09081411005801372,0.04363973651724823,0.5123455699839975,0.2462021118259917,0.23181179923080714,0,False,0,False,-0.21555670358364948,-0.20342832743319292,-0.0023544455121457504,0.006015855184682354,0.02405367903970887,-0.0029878771635570354,0.773174919923671,0,False,False,False,False,False,0.0009217977391693304,93159,17213,0
8,True,8,8,1,0.002,0.00025,0.00025,0,0,0,False,False,,,none,1.005,0.7668983244708318,0.7256064892852827,1.0113344396327113,0.021827212521189257,0.05811484969366425,True,2,1,4,1,True,1,,,2,1,2,41,,,,,,,,,6,0.8,1.7694653577641234e-06,5.326842708798284e-07,2.2035572831444217e-07,6.39013407406181e-07,1.9676521457350986e-06,False,0.010910892164696415,0.0,0.010910892164696415,0.7340130309252986,0.7340046909097924,0.0017767513641322517,0.0014166803913217387,0.8655242595154341,0.9259089007365219,0.8719431256366463,0.9287943433711299,-0.9878539887115735,0.9789384808754017,4.183098271533233,4.0780904188127,0.9748971107288749,0.0014838028666813556,0.05811484969366425,0.05663104682698289,0.0014838028666813556,0.05811484969366425,0.05663104682698289,0.02010530759562299,0.029939269943557865,0.009833962347934874,0.0023786717930305273,0.05800658399119887,0.055627912198168344,9.203093332016476,9.203097730441433,9.203093297575407,0.1738751497647197,0.0007030431118763883,1,merge,0.18578402360681828,0.20850335492430375,0.18578402360681828,4.281541925234502,4.051770491796248,0.14609457893808941,0.13755766076803805,4036,0.18578402360681828,0.0,1.0,0.0,,0,False,0,False,0.006365280301796123,0.025623873692429373,-0.0028478212070116166,0.006365280301796123,0.025623873692429373,-0.0028478212070116166,0.7731279763925627,0,False,False,False,False,False,0.0016146903204224284,93159,17213,0
9,True,9,9,1,0.0022500000000000003,0.00025,0.00025,0,0,0,False,False,,,none,1.005625,0.7671747462547882,0.7261892818777334,1.0117615186073523,0.022383614510982114,0.05785562471847042,True,2,1,4,1,True,1,,,2,1,2,41,,,,,,,,,6,0.8,1.5703834146360205e-06,5.146749034869275e-07,2.1526261388540623e-07,5.882505397509344e-07,1.7673061465680496e-06,False,0.010949270268691514,0.0,0.010949270268691514,0.7228687629678954,0.7228633925343465,0.002169376398496738,0.0017211143361062142,0.8638743627349895,0.926879676954247,0.8711545998033668,0.9299433388479517,-0.9867390975552363,0.9881656665741783,4.183098271533233,4.08116708477202,0.9756326100548787,0.0014480174564382353,0.05785562471847042,0.056407607262032186,0.0014480174564382353,0.05785562471847042,0.056407607262032186,0.02005917166712911,0.02993369548777618,0.00987452382064707,0.0023295360430494205,0.05782135157949792,0.055491815536448504,9.161758784537517,9.16176320302149,9.161758748363694,0.17288521810079205,0.0006731926347708542,1,none,0.19385918321664405,0.21735260710852367,0.19385918321664405,4.441337254421727,4.211276732066756,0.14681565122675433,0.1381000553161257,4214,0.19385918321664405,0.0,1.0,0.0,,0,False,0,False,0.00550292029912869,0.02703830908056109,-0.0027715282117262395,0.00550292029912869,0.02703830908056109,-0.0027715282117262395,0.7731038007811578,0,False,False,False,False,False,0.0016583464241615826,93159,17213,0
